# Omega_m     sigma_8     h           
  0.061685    0.102691    0.040238    
  0.353064    0.934347    0.528543    
  0.973222    0.458677    0.470859    
  0.912869    0.640095    0.601493    
  0.292825    0.224729    0.399412    
  0.122533    0.800772    0.918889    
  0.734757    0.338469    0.081923    
  0.512406    0.942677    0.315080    
  0.126623    0.418118    0.685267    
  0.460001    0.618918    0.134494    
  0.837979    0.016295    0.865884    
  0.840023    0.864051    0.333920    
  0.454293    0.278944    0.666983    
  0.132390    0.695561    0.155227    
  0.510300    0.157392    0.845586    
  0.740586    0.561468    0.610012    
  0.120367    0.085555    0.390336    
  0.294809    0.877415    0.933327    
  0.907223    0.479565    0.067050    
  0.971359    0.673619    0.938894    
  0.359075    0.211561    0.061032    
  0.055734    0.762947    0.510198    
  0.675839    0.347824    0.489639    
  0.571164    0.996038    0.222795    
  0.193125    0.393171    0.776576    
  0.393927    0.569801    0.296114    
  0.779771    0.044998    0.703286    
  0.812074    0.596500    0.027168    
  0.424366    0.011455    0.973391    
  0.222832    0.967134    0.453915    
  0.602735    0.428903    0.546739    
  0.646376    0.789950    0.811142    
  0.024407    0.313976    0.189001    
  0.326527    0.644899    0.739773    
  0.940676    0.247110    0.260337    
  0.876050    0.913880    0.639956    
  0.261772    0.451882    0.359628    
  0.088551    0.526705    0.816698    
  0.710633    0.111521    0.182979    
  0.542360    0.732331    0.416112    
  0.162587    0.129402    0.583053    
  0.485223    0.829470    0.094748    
  0.872816    0.304728    0.904385    
  0.854404    0.712505    0.524882    
  0.476523    0.172794    0.475008    
  0.173182    0.848703    0.955468    
  0.558883    0.262177    0.044390    
  0.688095    0.894176    0.308789    
  0.075709    0.494906    0.690558    
  0.276511    0.546060    0.241393    
  0.896702    0.068605    0.758047    
  0.957442    0.777932    0.138643    
  0.337366    0.365174    0.862224    
  0.015463    0.656321    0.319232    
  0.627719    0.196749    0.681603    
  0.623142    0.584603    0.914740    
  0.237327    0.062287    0.085583    
  0.411769    0.978679    0.597341    
  0.789779    0.378176    0.403076    
  0.759123    0.952650    0.835235    
  0.379192    0.413001    0.164389    
  0.205970    0.612348    0.652691    
  0.593706    0.025761    0.346960    
  0.659320    0.630599    0.111382    
  0.045143    0.231268    0.887804    
  0.367779    0.805859    0.430736    
  0.989776    0.328465    0.568361    
  0.929522    0.510267    0.441182    
  0.307410    0.097570    0.559417    
  0.105876    0.927780    0.008643    
  0.720183    0.468147    0.991986    
  0.528960    0.813215    0.725146    
  0.141338    0.290838    0.275017    
  0.443458    0.746292    0.794496    
  0.823260    0.145850    0.205578    
  0.818680    0.531266    0.766406    
  0.448522    0.071709    0.234247    
  0.154214    0.902880    0.714661    
  0.516568    0.490138    0.285898    
  0.730618    0.853745    0.052266    
  0.094949    0.253258    0.947844    
  0.304296    0.709674    0.498633    
  0.932145    0.187373    0.501508    
  0.993008    0.973651    0.379205    
  0.365030    0.387142    0.620472    
  0.034582    0.587450    0.077464    
  0.670365    0.047753    0.922119    
  0.580704    0.671131    0.657256    
  0.218481    0.193690    0.341877    
  0.383890    0.769243    0.853620    
  0.753934    0.369989    0.145546    
  0.787031    0.802847    0.592719    
  0.415001    0.343228    0.408094    
  0.248372    0.635337    0.896412    
  0.612581    0.222656    0.104490    
  0.640230    0.621236    0.370820    
  0.002461    0.020811    0.629557    
  0.332177    0.938163    0.172504    
  0.962141    0.415801    0.827844    
  0.901765    0.737417    0.197705    
  0.271931    0.150847    0.802131    
  0.063317    0.827718    0.251403    
  0.700971    0.288082    0.748524    
  0.547956    0.930808    0.983623    
  0.183617    0.453429    0.015778    
  0.479146    0.505543    0.535302    
  0.851289    0.106228    0.464069    
  0.859939    0.888028    0.090184    
  0.497614    0.472891    0.909469    
  0.167166    0.548706    0.397728    
  0.537296    0.086631    0.601896    
  0.713749    0.694761    0.868229    
  0.085929    0.169942    0.130868    
  0.251338    0.871001    0.673874    
  0.886978    0.268120    0.325313    
  0.951236    0.570647    0.696150    
  0.315481    0.032461    0.304478    
  0.021174    0.989132    0.753691    
  0.649124    0.404012    0.246909    
  0.598037    0.752379    0.482004    
  0.228022    0.354514    0.518070    
  0.437369    0.686429    0.037653    
  0.799564    0.210499    0.962510    
  0.768725    0.651665    0.267960    
  0.404487    0.236466    0.731898    
  0.195873    0.788844    0.212376    
  0.567930    0.326830    0.787515    
  0.681029    0.954552    0.553886    
  0.051036    0.429794    0.445554    
  0.346565    0.607416    0.996281    
  0.984362    0.004474    0.003066    
  0.919615    0.842098    0.881739    
  0.281932    0.303852    0.119096    
  0.115303    0.721460    0.576151    
  0.745165    0.136400    0.424716    
  0.507678    0.519984    0.159849    
  0.135505    0.122180    0.840568    
  0.465221    0.915033    0.352248    
  0.829589    0.439042    0.648076    
  0.828812    0.523233    0.288327    
  0.466466    0.123658    0.711112    
  0.135781    0.917247    0.230606    
  0.505947    0.439609    0.768743    
  0.744900    0.841745    0.502407    
  0.117044    0.301363    0.497453    
  0.282690    0.720195    0.946694    
  0.918351    0.132877    0.053195    
  0.982632    0.955851    0.925528    
  0.346841    0.433230    0.074887    
  0.052282    0.607675    0.617803    
  0.680252    0.006989    0.382522    
  0.566667    0.649363    0.147417    
  0.196630    0.235934    0.853420    
  0.406229    0.785622    0.341707    
  0.768460    0.325257    0.659157    
  0.799848    0.751782    0.102547    
  0.435631    0.352269    0.896548    
  0.227253    0.684920    0.408321    
  0.599275    0.207221    0.590867    
  0.649874    0.574139    0.824508    
  0.019917    0.033696    0.175145    
  0.315209    0.991591    0.632168    
  0.952986    0.404334    0.367453    
  0.888215    0.692214    0.747561    
  0.250568    0.169655    0.252511    
  0.084191    0.867536    0.803331    
  0.714032    0.266789    0.196834    
  0.539045    0.889572    0.461706    
  0.166894    0.476081    0.538924    
  0.496358    0.549207    0.019369    
  0.860689    0.088903    0.981229    
  0.850051    0.932225    0.605144    
  0.479914    0.456982    0.395235    
  0.185354    0.505927    0.906945    
  0.547672    0.108870    0.093401    
  0.699223    0.734990    0.327039    
  0.063590    0.150189    0.673773    
  0.273188    0.824377    0.130859    
  0.901016    0.286391    0.870046    
  0.961856    0.624611    0.249177    
  0.333914    0.022415    0.750225    
  0.003229    0.940496    0.300982    
  0.638991    0.416486    0.698387    
  0.611831    0.802375    0.963263    
  0.249629    0.340622    0.036572    
  0.415275    0.633947    0.517080    
  0.785282    0.219007    0.482849    
  0.755663    0.668458    0.786712    
  0.383613    0.193277    0.213400    
  0.217235    0.765659    0.732953    
  0.581480    0.368541    0.267187    
  0.671630    0.975313    0.000848    
  0.033825    0.390451    0.999804    
  0.363289    0.588077    0.448985    
  0.993274    0.050151    0.551577    
  0.932921    0.853030    0.422933    
  0.303050    0.250895    0.576202    
  0.094672    0.708039    0.119178    
  0.732348    0.183969    0.879986    
  0.516833    0.534884    0.644885    
  0.152473    0.073069    0.354790    
  0.447765    0.905457    0.843019    
  0.819945    0.490578    0.156566    
  0.823056    0.815460    0.845813    
  0.445138    0.291435    0.153375    
  0.142034    0.749570    0.665040    
  0.527756    0.147359    0.334055    
  0.719468    0.509032    0.069661    
  0.107061    0.094078    0.929961    
  0.307626    0.927458    0.387000    
  0.927853    0.465688    0.612653    
  0.988571    0.630886    0.490838    
  0.368474    0.233815    0.509327    
  0.046823    0.807189    0.060069    
  0.659115    0.331930    0.940002    
  0.592038    0.949460    0.706877    
  0.206186    0.411457    0.293720    
  0.380376    0.610075    0.774213    
  0.758408    0.025260    0.226417    
  0.790468    0.583125    0.543098    
  0.410573    0.059038    0.456251    
  0.237114    0.978112    0.975819    
  0.624830    0.375962    0.023619    
  0.627943    0.780421    0.259186    
  0.013787    0.365527    0.740702    
  0.336659    0.659844    0.189899    
  0.958620    0.198013    0.809961    
  0.898389    0.890740    0.180310    
  0.276299    0.493608    0.820015    
  0.074513    0.543545    0.363036    
  0.688783    0.068347    0.637379    
  0.560060    0.713037    0.904216    
  0.172475    0.175096    0.096649    
  0.474846    0.850276    0.584924    
  0.854627    0.265400    0.415912    
  0.871127    0.732744    0.045445    
  0.485434    0.132075    0.954696    
  0.163783    0.830918    0.474205    
  0.541671    0.308312    0.525907    
  0.709457    0.910571    0.761478    
  0.089259    0.450221    0.239083    
  0.263449    0.524307    0.688340    
  0.875827    0.110894    0.312312    
  0.939987    0.792314    0.681685    
  0.327723    0.314691    0.317479    
  0.024618    0.648303    0.860441    
  0.644687    0.248745    0.138694    
  0.602512    0.595140    0.405527    
  0.224509    0.007837    0.594058    
  0.425074    0.966694    0.082392    
  0.810897    0.426326    0.917283    
  0.780974    0.992485    0.344437    
  0.393230    0.391754    0.655909    
  0.191444    0.567159    0.167637    
  0.571368    0.044614    0.832742    
  0.677508    0.674278    0.568352    
  0.055519    0.213989    0.432554    
  0.357891    0.764638    0.889530    
  0.972075    0.351164    0.111281    
  0.907427    0.559865    0.988490    
  0.293128    0.082180    0.010880    
  0.119670    0.876730    0.561685    
  0.741789    0.477233    0.437717    
  0.511016    0.866657    0.204588    
  0.131206    0.279416    0.795341    
  0.454078    0.699210    0.275771    
  0.841693    0.158781    0.724065    
  0.839709    0.944281    0.193559    
  0.459724    0.421492    0.805812    
  0.125377    0.619603    0.262851    
  0.513182    0.018627    0.736550    
  0.736022    0.637488    0.972159    
  0.121776    0.224257    0.027767    
  0.291084    0.797123    0.539433    
  0.913134    0.337079    0.460403    
  0.973997    0.503850    0.580776    
  0.351817    0.104108    0.419573    
  0.061408    0.936988    0.900063    
  0.675768    0.459061    0.100313    
  0.577319    0.822057    0.367184    
  0.189644    0.281873    0.633719    
  0.395092    0.739509    0.184463    
  0.774962    0.152511    0.816351    
  0.805068    0.704013    0.382848    
  0.427241    0.181164    0.616318    
  0.222525    0.855837    0.065512    
  0.608157    0.254922    0.933621    
  0.642643    0.901188    0.669192    
  0.030325    0.488017    0.330391    
  0.321955    0.537446    0.849962    
  0.942093    0.077341    0.149715    
  0.881717    0.771394    0.777877    
  0.261710    0.371590    0.222265    
  0.091181    0.665407    0.710538    
  0.703384    0.187541    0.289572    
  0.543533    0.593567    0.056405    
  0.157771    0.053444    0.944155    
  0.491385    0.972018    0.487178    
  0.869327    0.384959    0.513475    
  0.856550    0.605114    0.885382    
  0.468773    0.002719    0.114942    
  0.178364    0.960122    0.564199    
  0.558320    0.435793    0.436217    
  0.694734    0.782817    0.171785    
  0.072713    0.321232    0.829082    
  0.278161    0.653391    0.348589    
  0.892377    0.238740    0.652245    
  0.956636    0.920540    0.279430    
  0.342305    0.445100    0.719916    
  0.007958    0.517741    0.208252    
  0.630109    0.120363    0.791189    
  0.619062    0.723244    0.558025    
  0.239220    0.138611    0.441865    
  0.408528    0.836008    0.984825    
  0.796175    0.298312    0.015032    
  0.764298    0.872786    0.692003    
  0.378637    0.270330    0.308160    
  0.208108    0.688671    0.765139    
  0.585965    0.164403    0.234935    
  0.660977    0.554213    0.470541    
  0.040811    0.092689    0.530059    
  0.374425    0.885785    0.041785    
  0.986771    0.471073    0.958844    
  0.922024    0.680402    0.078240    
  0.309793    0.204900    0.920947    
  0.105077    0.754104    0.401378    
  0.725113    0.356788    0.597718    
  0.525712    0.986830    0.864593    
  0.147741    0.402257    0.135030    
  0.439371    0.576217    0.685833    
  0.825162    0.038459    0.313819    
  0.814116    0.642807    0.628020    
  0.449931    0.245446    0.371114    
  0.150489    0.795611    0.820356    
  0.522478    0.320185    0.178809    
  0.730304    0.960953    0.412470    
  0.100380    0.423271    0.587207    
  0.297283    0.598192    0.106699    
  0.935027    0.013576    0.892884    
  0.999163    0.835193    0.023029    
  0.361548    0.310878    0.977080    
  0.035747    0.730180    0.465370    
  0.665556    0.127801    0.534772    
  0.583342    0.528339    0.799671    
  0.211223    0.113704    0.200982    
  0.389564    0.907762    0.743897    
  0.753863    0.446191    0.256663    
  0.783298    0.879048    0.950358    
  0.420920    0.481748    0.049042    
  0.243799    0.555351    0.506067    
  0.613998    0.079864    0.493305    
  0.633224    0.701284    0.226942    
  0.005336    0.163541    0.772895    
  0.331870    0.861899    0.284666    
  0.967564    0.277344    0.715260    
  0.902938    0.563620    0.337555    
  0.267115    0.039366    0.662822    
  0.069479    0.997731    0.143268    
  0.697482    0.395291    0.857080    
  0.553623    0.760855    0.621956    
  0.183555    0.346160    0.378858    
  0.481776    0.679280    0.929676    
  0.844040    0.217770    0.071227    
  0.866578    0.811948    0.452645    
  0.494618    0.334004    0.547428    
  0.168816    0.628814    0.004512    
  0.532972    0.229057    0.995652    
  0.715895    0.614591    0.729293    
  0.078179    0.027578    0.271336    
  0.256520    0.947143    0.783048    
  0.886415    0.406943    0.217552    
  0.947156    0.744566    0.838870    
  0.317375    0.143576    0.160227    
  0.017933    0.819241    0.640732    
  0.655519    0.296437    0.358454    
  0.597231    0.922210    0.123326    
  0.232961    0.462149    0.876326    
  0.429864    0.512570    0.427085    
  0.801954    0.099324    0.572538    
  0.770382    0.540490    0.126706    
  0.400155    0.062607    0.873710    
  0.202520    0.896479    0.322890    
  0.564926    0.496661    0.677433    
  0.686204    0.846977    0.911097    
  0.050482    0.259904    0.089737    
  0.348703    0.718532    0.609292    
  0.976621    0.178393    0.391575    
  0.916367    0.980922    0.520744    
  0.288335    0.379993    0.478697    
  0.111215    0.579095    0.966924    
  0.747067    0.056230    0.032423    
  0.500180    0.662410    0.297318    
  0.137888    0.202289    0.702540    
  0.464422    0.776147    0.245517    
  0.834519    0.362963    0.754373    
  0.833790    0.774233    0.549638    
  0.461733    0.361062    0.450954    
  0.139112    0.660495    0.993929    
  0.503350    0.200390    0.006691    
  0.749749    0.580964    0.273062    
  0.111951    0.058115    0.727108    
  0.285158    0.982792    0.215337    
  0.915150    0.381877    0.784744    
  0.979790    0.716616    0.162440    
  0.349927    0.176493    0.837175    
  0.047792    0.845063    0.356729    
  0.685475    0.258003    0.642916    
  0.563710    0.898348    0.878049    
  0.199342    0.498545    0.121146    
  0.400892    0.542359    0.570327    
  0.773064    0.064492    0.428777    
  0.803171    0.514439    0.871984    
  0.433041    0.101208    0.128891    
  0.232224    0.924078    0.679648    
  0.594549    0.464034    0.321194    
  0.652349    0.817326    0.087527    
  0.016709    0.294537    0.912789    
  0.320065    0.742652    0.393296    
  0.947885    0.141676    0.607112    
  0.883733    0.949012    0.476974    
  0.255784    0.408828    0.522924    
  0.081357    0.616461    0.034634    
  0.717111    0.029462    0.965231    
  0.533700    0.626900    0.700326    
  0.171505    0.227157    0.299013    
  0.493393    0.810033    0.756099    
  0.863408    0.332105    0.243334    
  0.846721    0.677258    0.373297    
  0.482512    0.215733    0.626294    
  0.180377    0.758834    0.177114    
  0.552406    0.344122    0.822570    
  0.696754    0.999738    0.588900    
  0.066790    0.397282    0.410259    
  0.268339    0.565626    0.890703    
  0.906108    0.041358    0.108422    
  0.966346    0.859878    0.979260    
  0.328692    0.275306    0.021308    
  0.006072    0.699262    0.533081    
  0.635906    0.161505    0.467580    
  0.617168    0.557357    0.202678    
  0.245024    0.081856    0.797456    
  0.418231    0.881055    0.254479    
  0.782569    0.483739    0.745623    
  0.750693    0.909768    0.047350    
  0.388340    0.448183    0.952569    
  0.213913    0.530346    0.495485    
  0.584071    0.115695    0.504344    
  0.666773    0.728159    0.770712    
