# Omega_m     sigma_8     h           
  0.106579    1.047521    0.604331    
  0.361638    0.685948    0.795556    
  0.337932    0.907886    0.748530    
  0.192199    0.658666    0.651449    
  0.272907    1.154291    0.760039    
  0.421768    0.876908    0.639935    
  0.408725    1.136911    0.701477    
  0.260658    0.898384    0.698558    
  0.180438    0.923943    0.789956    
  0.325376    0.638504    0.610059    
  0.373496    1.030326    0.656792    
  0.119232    0.707241    0.743326    
  0.240468    1.107945    0.645674    
  0.491610    0.756772    0.754450    
  0.465953    0.947655    0.628721    
  0.214764    0.632956    0.771118    
  0.145082    1.189371    0.667201    
  0.399398    0.827761    0.732620    
  0.301034    1.066069    0.785599    
  0.156141    0.816813    0.614324    
  0.284808    0.998374    0.724482    
  0.432822    0.721029    0.675447    
  0.434094    0.997234    0.635330    
  0.285295    0.719880    0.764837    
  0.155069    1.064930    0.674994    
  0.300739    0.815664    0.725179    
  0.398909    1.190502    0.778453    
  0.143814    0.828883    0.621630    
  0.215056    0.948786    0.717713    
  0.467028    0.634078    0.682352    
  0.491316    1.106805    0.706328    
  0.239395    0.755623    0.693644    
  0.119719    1.029186    0.795992    
  0.374767    0.706092    0.603986    
  0.326452    0.925073    0.651013    
  0.180729    0.639626    0.748875    
  0.259390    1.138042    0.640274    
  0.408235    0.899506    0.759596    
  0.420692    1.155421    0.698994    
  0.272616    0.878030    0.701132    
  0.193467    0.909017    0.609721    
  0.338421    0.659787    0.790398    
  0.361932    1.046382    0.743665    
  0.107652    0.684799    0.656349    
  0.227035    1.090639    0.754013    
  0.478187    0.775895    0.646020    
  0.454095    0.969681    0.771554    
  0.202891    0.618461    0.628376    
  0.131942    1.168587    0.732281    
  0.386268    0.845529    0.667643    
  0.312514    1.085641    0.614662    
  0.167611    0.800230    0.785157    
  0.298326    0.975209    0.675011    
  0.446356    0.736636    0.724826    
  0.438086    1.055056    0.798524    
  0.292427    0.807301    0.601443    
  0.172751    1.005564    0.710044    
  0.321538    0.729647    0.689941    
  0.379668    0.939022    0.643207    
  0.127707    0.625752    0.756673    
  0.206368    1.198869    0.654325    
  0.461451    0.838759    0.745549    
  0.487114    1.020488    0.671279    
  0.232077    0.696561    0.728883    
  0.101851    1.116306    0.632800    
  0.353760    0.764216    0.767381    
  0.345875    1.129454    0.714400    
  0.197042    0.890011    0.685675    
  0.268283    0.934610    0.775517    
  0.413994    0.648329    0.624552    
  0.400878    0.918000    0.735605    
  0.255912    0.670208    0.664330    
  0.184963    1.145034    0.774475    
  0.333051    0.869154    0.625442    
  0.365741    1.099513    0.678715    
  0.114577    0.786279    0.721112    
  0.245292    1.035958    0.617207    
  0.499584    0.675812    0.782626    
  0.473724    1.178743    0.606798    
  0.219387    0.854779    0.793332    
  0.140238    0.960462    0.695669    
  0.391454    0.608409    0.704444    
  0.308910    0.985256    0.751471    
  0.160868    0.745849    0.648551    
  0.280251    1.076386    0.739962    
  0.425165    0.790068    0.660066    
  0.430170    1.191357    0.747223    
  0.275052    0.839259    0.652897    
  0.158793    0.945537    0.761496    
  0.310790    0.621600    0.638631    
  0.390356    1.009588    0.691515    
  0.141533    0.723298    0.708518    
  0.223807    1.054430    0.606167    
  0.469502    0.814978    0.793848    
  0.495214    0.930613    0.619779    
  0.249467    0.654687    0.780145    
  0.115628    1.130108    0.684053    
  0.364497    0.882343    0.715878    
  0.335078    1.123844    0.762510    
  0.183133    0.763726    0.637328    
  0.250957    1.014001    0.727161    
  0.406030    0.700721    0.672658    
  0.418170    1.035440    0.787496    
  0.263914    0.683379    0.612677    
  0.195797    1.103719    0.722832    
  0.346925    0.779746    0.677335    
  0.351930    1.151437    0.630215    
  0.103878    0.865111    0.769850    
  0.237229    0.910304    0.665954    
  0.482159    0.670890    0.734129    
  0.456251    1.070010    0.658490    
  0.211373    0.794120    0.741488    
  0.129588    0.992978    0.643827    
  0.377594    0.745177    0.756145    
  0.322833    0.961007    0.702772    
  0.171653    0.600853    0.697097    
  0.288205    1.174564    0.788511    
  0.442506    0.861321    0.611377    
  0.448430    0.954155    0.686977    
  0.296445    0.631070    0.712940    
  0.162605    1.181772    0.623107    
  0.317713    0.830599    0.776828    
  0.381849    1.063084    0.729709    
  0.136165    0.824558    0.670124    
  0.203989    1.000113    0.766217    
  0.452801    0.714675    0.633610    
  0.477137    1.139896    0.758167    
  0.228279    0.890640    0.641945    
  0.112021    0.922204    0.744296    
  0.357756    0.644858    0.655834    
  0.343377    1.023826    0.602461    
  0.188315    0.709127    0.797567    
  0.270589    1.115544    0.688969    
  0.422523    0.753934    0.711053    
  0.409479    1.093629    0.647546    
  0.258339    0.770581    0.752440    
  0.176554    1.044720    0.661026    
  0.330821    0.693511    0.738941    
  0.369615    0.900178    0.791826    
  0.124674    0.661615    0.608048    
  0.241225    1.160608    0.705709    
  0.489289    0.875206    0.694172    
  0.465147    0.984057    0.720299    
  0.217130    0.734837    0.679882    
  0.149013    1.080463    0.783778    
  0.393903    0.803081    0.616385    
  0.304962    1.165606    0.663016    
  0.150649    0.850871    0.737053    
  0.284000    0.971351    0.626899    
  0.435192    0.609777    0.773177    
  0.436009    1.118430    0.666784    
  0.281717    0.767366    0.733397    
  0.152956    1.017336    0.631045    
  0.304120    0.694435    0.769117    
  0.396234    0.936881    0.722002    
  0.148147    0.651333    0.678067    
  0.217924    1.126449    0.786665    
  0.462889    0.887739    0.613410    
  0.488544    1.004172    0.787779    
  0.243630    0.726937    0.612206    
  0.122293    1.057768    0.702040    
  0.370335    0.808694    0.697928    
  0.328466    1.197623    0.644559    
  0.177250    0.835902    0.755315    
  0.257571    0.941880    0.659223    
  0.411908    0.626999    0.740657    
  0.424830    0.957900    0.605434    
  0.269746    0.606873    0.794678    
  0.189133    1.180280    0.690783    
  0.341094    0.857342    0.709348    
  0.358550    1.073970    0.762228    
  0.109763    0.788386    0.637800    
  0.230611    0.986940    0.747955    
  0.476270    0.748266    0.652067    
  0.450420    1.148328    0.727991    
  0.204709    0.871129    0.671926    
  0.135420    0.916023    0.763340    
  0.384253    0.666913    0.636596    
  0.316944    1.039399    0.683222    
  0.165035    0.677641    0.716611    
  0.294089    1.097682    0.618950    
  0.449126    0.782837    0.780877    
  0.441761    1.027503    0.704976    
  0.290609    0.703677    0.695002    
  0.169273    1.109222    0.791094    
  0.323553    0.757306    0.608878    
  0.375238    1.136506    0.661758    
  0.130284    0.896944    0.738112    
  0.210604    0.927636    0.648279    
  0.458681    0.641163    0.751609    
  0.482977    1.066759    0.627729    
  0.234946    0.819104    0.772445    
  0.106185    0.993792    0.663846    
  0.351088    0.718050    0.736321    
  0.349257    0.950762    0.782948    
  0.194931    0.637372    0.617117    
  0.264707    1.187207    0.719468    
  0.415912    0.826906    0.680615    
  0.403649    1.171590    0.767047    
  0.251677    0.847800    0.632878    
  0.182388    0.967409    0.730538    
  0.337482    0.615457    0.669392    
  0.363728    0.978359    0.622276    
  0.118057    0.738761    0.777561    
  0.247111    1.083515    0.686147    
  0.495910    0.797079    0.713672    
  0.471809    0.906160    0.688236    
  0.222964    0.658542    0.711883    
  0.142350    1.156668    0.601729    
  0.388073    0.880888    0.798397    
  0.311584    1.087929    0.745029    
  0.156535    0.774503    0.655003    
  0.277383    1.047775    0.758899    
  0.429304    0.687510    0.641116    
  0.427472    0.918760    0.753281    
  0.279409    0.643025    0.646849    
  0.161686    1.141728    0.742932    
  0.306627    0.894083    0.657180    
  0.392247    1.112247    0.610453    
  0.137980    0.751955    0.789569    
  0.221718    1.025804    0.699727    
  0.472858    0.712424    0.700302    
  0.497203    1.184191    0.675841    
  0.246012    0.832285    0.724094    
  0.113833    0.952470    0.615493    
  0.368146    0.628652    0.784424    
  0.332282    1.002678    0.731451    
  0.187392    0.716214    0.668375    
  0.253556    1.061546    0.770724    
  0.401573    0.821994    0.629109    
  0.414812    1.081708    0.718544    
  0.266000    0.805937    0.681619    
  0.199349    0.981202    0.779282    
  0.345032    0.733594    0.620898    
  0.356092    0.972742    0.674164    
  0.100984    0.612487    0.725911    
  0.232871    1.162898    0.634501    
  0.484856    0.849481    0.765569    
  0.460706    1.042450    0.639541    
  0.208772    0.690508    0.760426    
  0.125327    1.096631    0.650281    
  0.380388    0.772849    0.749705    
  0.319182    1.158485    0.796725    
  0.173447    0.872057    0.603156    
  0.291658    0.903326    0.707060    
  0.440516    0.663737    0.692814    
  0.443976    1.132817    0.618037    
  0.299046    0.883734    0.781894    
  0.166866    0.929224    0.679546    
  0.314918    0.651979    0.720379    
  0.385499    1.016857    0.773646    
  0.134371    0.701965    0.626174    
  0.200535    1.122601    0.734775    
  0.454791    0.760872    0.665063    
  0.480494    0.942388    0.739230    
  0.226193    0.619477    0.660896    
  0.108470    1.193479    0.750738    
  0.359649    0.842407    0.649382    
  0.339215    1.051427    0.696401    
  0.191209    0.812708    0.703614    
  0.274948    1.011857    0.607531    
  0.419826    0.726299    0.792502    
  0.407490    0.990999    0.653592    
  0.261795    0.741880    0.746380    
  0.178349    1.073306    0.642475    
  0.327172    0.796098    0.757503    
  0.372412    1.172731    0.710777    
  0.120415    0.857877    0.689111    
  0.238626    0.964450    0.799256    
  0.493745    0.602684    0.600613    
  0.467846    1.105259    0.776348    
  0.212773    0.782311    0.623819    
  0.146121    1.032876    0.715230    
  0.398066    0.681840    0.684943    
  0.303071    0.911991    0.631970    
  0.154202    0.673308    0.768114    
  0.286088    1.149020    0.670450    
  0.431835    0.863425    0.729615    
  0.431525    0.913940    0.657665    
  0.286586    0.674195    0.742222    
  0.154313    1.150348    0.646121    
  0.302379    0.863766    0.753749    
  0.397960    1.105047    0.700481    
  0.146818    0.780818    0.699491    
  0.213076    1.032117    0.789339    
  0.467340    0.679726    0.610639    
  0.493053    1.173510    0.785106    
  0.238736    0.859938    0.614977    
  0.120913    0.964605    0.723561    
  0.372101    0.604193    0.676504    
  0.326667    0.989618    0.629483    
  0.178652    0.741560    0.770684    
  0.262492    1.071373    0.668341    
  0.407384    0.795154    0.731831    
  0.419939    1.051069    0.620509    
  0.274252    0.811361    0.779310    
  0.190901    1.010952    0.681664    
  0.339710    0.724332    0.718173    
  0.359949    0.944483    0.764902    
  0.107967    0.620217    0.635029    
  0.226084    1.194955    0.726434    
  0.481194    0.842600    0.673491    
  0.455286    1.015329    0.749512    
  0.200227    0.701793    0.650502    
  0.133676    1.120522    0.760666    
  0.385613    0.760074    0.639367    
  0.315618    1.133743    0.692341    
  0.166758    0.885649    0.707785    
  0.298543    0.929524    0.603874    
  0.444276    0.653342    0.796246    
  0.440020    1.159335    0.721029    
  0.291966    0.874189    0.679047    
  0.174142    0.903556    0.781389    
  0.319069    0.665322    0.618680    
  0.379689    1.040994    0.665408    
  0.125436    0.690113    0.734755    
  0.209275    1.094626    0.626172    
  0.460406    0.771835    0.774009    
  0.484742    0.974766    0.649835    
  0.233566    0.613449    0.750045    
  0.101292    1.164297    0.660196    
  0.355597    0.849892    0.739677    
  0.344733    1.081425    0.792653    
  0.199852    0.804373    0.607314    
  0.266110    0.980368    0.703416    
  0.414113    0.731404    0.696570    
  0.402265    1.001075    0.757342    
  0.253445    0.715966    0.642680    
  0.186894    1.059395    0.746591    
  0.332592    0.821125    0.653437    
  0.368652    1.185188    0.600170    
  0.113530    0.834271    0.799961    
  0.245315    0.952846    0.689797    
  0.497309    0.630091    0.710315    
  0.473168    1.111818    0.684587    
  0.221220    0.750537    0.715240    
  0.137869    1.024823    0.623836    
  0.392939    0.710381    0.775997    
  0.306733    0.920930    0.728977    
  0.160989    0.643842    0.670958    
  0.279106    1.143274    0.768604    
  0.427978    0.894347    0.631313    
  0.429222    1.089276    0.769163    
  0.278055    0.774861    0.630675    
  0.156814    1.049742    0.733008    
  0.311102    0.688416    0.666811    
  0.387787    0.905419    0.613932    
  0.142824    0.656447    0.785992    
  0.223051    1.156475    0.677400    
  0.471141    0.879413    0.722531    
  0.495429    0.978532    0.698168    
  0.247390    0.740289    0.701865    
  0.118729    1.084313    0.612014    
  0.363646    0.799158    0.788000    
  0.336815    1.169676    0.741375    
  0.182474    0.846874    0.658744    
  0.252151    0.966045    0.754843    
  0.403363    0.615156    0.645283    
  0.416187    0.949875    0.708620    
  0.264229    0.635423    0.691250    
  0.194846    1.186867    0.795164    
  0.349932    0.825577    0.604724    
  0.351177    1.068252    0.651837    
  0.105515    0.819316    0.748140    
  0.234664    0.995906    0.637980    
  0.483448    0.718808    0.761992    
  0.459356    1.134444    0.636062    
  0.210520    0.896165    0.764003    
  0.129805    0.926127    0.672607    
  0.375513    0.641008    0.727476    
  0.324024    1.027822    0.780843    
  0.168990    0.705058    0.619330    
  0.289939    1.110166    0.716985    
  0.441851    0.759240    0.683182    
  0.448451    1.039647    0.609089    
  0.294174    0.679245    0.790939    
  0.165513    1.098551    0.694841    
  0.316668    0.784987    0.705181    
  0.383783    1.146343    0.752296    
  0.135704    0.870132    0.647817    
  0.205380    0.914584    0.737668    
  0.450331    0.666536    0.662462    
  0.475995    1.075389    0.736337    
  0.231089    0.788814    0.663496    
  0.109847    0.988982    0.772088    
  0.357875    0.749247    0.627739    
  0.341005    0.957084    0.681105    
  0.189804    0.604702    0.718812    
  0.270030    1.180016    0.616478    
  0.424359    0.855796    0.783457    
  0.412389    1.195491    0.668887    
  0.257292    0.835052    0.731182    
  0.176578    0.940296    0.633527    
  0.328547    0.626768    0.766548    
  0.371003    1.004567    0.713670    
  0.122208    0.728393    0.686511    
  0.243156    1.058783    0.777906    
  0.488830    0.810698    0.622256    
  0.462971    0.935919    0.797698    
  0.217251    0.649308    0.602176    
  0.147868    1.126038    0.712337    
  0.396716    0.886340    0.687543    
  0.304406    1.119994    0.640918    
  0.152482    0.767649    0.759068    
  0.281631    1.019526    0.655154    
  0.436677    0.695269    0.744813    
  0.435884    1.166568    0.638712    
  0.283890    0.852895    0.761162    
  0.150151    0.971762    0.652570    
  0.305273    0.611176    0.747310    
  0.394409    0.982493    0.794432    
  0.148710    0.734554    0.605553    
  0.216434    1.078274    0.707887    
  0.465254    0.802247    0.692081    
  0.489599    0.902310    0.716155    
  0.240727    0.662465    0.683915    
  0.124563    1.162193    0.780013    
  0.370307    0.875436    0.620063    
  0.330928    1.093234    0.673437    
  0.175857    0.769124    0.726744    
  0.258037    1.043706    0.636893    
  0.409985    0.691506    0.763270    
  0.422027    1.022408    0.676570    
  0.270896    0.708698    0.723264    
  0.189010    1.113502    0.613102    
  0.343263    0.752953    0.786724    
  0.357057    1.140713    0.733838    
  0.112130    0.892810    0.666078    
  0.228782    0.922468    0.769992    
  0.476837    0.646405    0.629943    
  0.452687    1.062836    0.755575    
  0.204684    0.822954    0.644453    
  0.136473    0.999244    0.742108    
  0.381354    0.712524    0.657914    
  0.317413    0.956140    0.611281    
  0.163108    0.632067    0.788831    
  0.296554    1.183211    0.697436    
  0.447731    0.830975    0.702695    
  0.442620    0.963068    0.777076    
  0.287509    0.601632    0.622988    
  0.171346    1.176073    0.712840    
  0.323328    0.861476    0.687243    
  0.377894    1.069690    0.634357    
  0.129085    0.792739    0.765816    
  0.211264    0.992034    0.669718    
  0.456951    0.743244    0.730449    
  0.482654    1.152324    0.655886    
  0.236922    0.867060    0.743983    
  0.103183    0.910644    0.641650    
  0.352044    0.672218    0.758238    
  0.347625    1.033947    0.711605    
  0.195688    0.683167    0.688373    
  0.263411    1.101605    0.796965    
  0.418470    0.778987    0.603006    
  0.405719    1.123672    0.738401    
  0.251455    0.762198    0.661632    
  0.183243    1.013203    0.753028    
  0.334386    0.698642    0.646987    
  0.364391    0.932528    0.694108    
  0.116325    0.655613    0.706012    
  0.249770    1.131471    0.608357    
  0.494708    0.882644    0.791769    
  0.468810    1.008241    0.615648    
  0.223917    0.722940    0.784189    
  0.142031    1.052463    0.680276    
  0.390045    0.814073    0.719544    
  0.310285    1.192098    0.772919    
  0.159096    0.841354    0.627006    
  0.275748    0.945730    0.737167    
  0.430065    0.623076    0.662764    
  0.425646    0.985684    0.725604    
  0.279973    0.747268    0.674223    
  0.160196    1.077367    0.764071    
  0.308991    0.792111    0.635762    
  0.392121    1.176572    0.682494    
  0.140152    0.853963    0.717441    
  0.218913    0.958915    0.621340    
  0.474011    0.608145    0.778577    
  0.499665    1.101116    0.604606    
  0.244619    0.786527    0.795416    
  0.114299    1.038108    0.693074    
  0.366222    0.676681    0.706954    
  0.333337    0.917003    0.759934    
  0.184489    0.668223    0.640196    
  0.255826    1.144657    0.748779    
  0.401545    0.867715    0.651333    
  0.413319    1.127429    0.790072    
  0.268368    0.889049    0.609808    
  0.197520    0.933211    0.701213    
  0.345599    0.647918    0.698661    
  0.353290    1.020771    0.645388    
  0.102134    0.698125    0.754579    
  0.232748    1.117140    0.656933    
  0.487025    0.766406    0.743052    
  0.461175    0.938172    0.667511    
  0.206846    0.623620    0.732564    
  0.127792    1.198638    0.628654    
  0.378993    0.837175    0.771416    
  0.321449    1.056513    0.724391    
  0.173422    0.807696    0.675772    
  0.292710    1.007568    0.785935    
  0.437616    0.730662    0.614245    
  0.446631    1.087169    0.690529    
  0.297847    0.800403    0.709486    
  0.167526    0.977288    0.600902    
  0.313189    0.737434    0.799130    
  0.386358    0.968755    0.745859    
  0.131272    0.616547    0.654267    
  0.202608    1.168286    0.756610    
  0.454566    0.844166    0.643510    
  0.478862    1.046740    0.767774    
  0.226950    0.686146    0.632045    
  0.107173    1.091545    0.728146    
  0.362207    0.777862    0.671691    
  0.338892    1.153326    0.624665    
  0.193184    0.877289    0.775265    
  0.271946    0.907542    0.685417    
  0.420782    0.659594    0.714508    
  0.408153    0.924294    0.625341    
  0.260062    0.637564    0.774742    
  0.181008    1.137887    0.664578    
  0.325971    0.897997    0.735487    
  0.374482    1.108186    0.782219    
  0.120193    0.755942    0.617947    
  0.239481    1.031119    0.721858    
  0.490648    0.707036    0.678315    
  0.466547    1.188553    0.704149    
  0.215334    0.827996    0.695739    
  0.144486    0.947457    0.793385    
  0.398827    0.633738    0.606485    
  0.300072    0.997446    0.659464    
  0.155155    0.721373    0.740508    
  0.285769    1.065688    0.649103    
  0.433808    0.817778    0.750875    
  0.433516    1.064540    0.709928    
  0.284693    0.816637    0.690191    
  0.155645    0.996297    0.798786    
  0.301340    0.720234    0.601338    
  0.399899    0.948579    0.654612    
  0.144780    0.634869    0.745422    
  0.214063    1.189675    0.643067    
  0.466060    0.829126    0.756949    
  0.491916    1.029970    0.632488    
  0.239971    0.705896    0.767435    
  0.119117    1.107038    0.671346    
  0.374190    0.754802    0.728583    
  0.325484    1.139009    0.775610    
  0.179737    0.899127    0.624229    
  0.260357    0.925415    0.714065    
  0.409226    0.638695    0.685755    
  0.421268    0.908664    0.774397    
  0.273217    0.660725    0.625778    
  0.192890    1.154447    0.735930    
  0.337819    0.878420    0.664239    
  0.360940    1.090396    0.617505    
  0.106683    0.776722    0.782558    
  0.228026    1.045591    0.678659    
  0.479154    0.685006    0.721422    
  0.453493    1.169407    0.695395    
  0.202313    0.845297    0.704585    
  0.132543    0.969876    0.606927    
  0.386845    0.617677    0.793046    
  0.313480    0.976140    0.740065    
  0.168602    0.736294    0.659803    
  0.297357    1.086020    0.751220    
  0.445363    0.799263    0.648667    
  0.438688    1.006355    0.674659    
  0.293005    0.729440    0.725259    
  0.172151    1.055300    0.635423    
  0.320962    0.806473    0.764514    
  0.378702    1.199843    0.717780    
  0.126716    0.838369    0.682052    
  0.207336    0.939376    0.778141    
  0.462443    0.624815    0.621684    
  0.486539    1.115927    0.795852    
  0.231477    0.765184    0.604262    
  0.102429    1.019557    0.706616    
  0.354362    0.696903    0.693516    
  0.346867    0.934414    0.640536    
  0.198010    0.649113    0.759491    
  0.267292    1.128633    0.650896    
  0.413028    0.890243    0.749125    
  0.400277    1.145861    0.609470    
  0.255336    0.868910    0.790514    
  0.185565    0.918207    0.699097    
  0.333628    0.669417    0.700869    
  0.366709    1.036895    0.754142    
